名次,城市,冬季平均AQI
1,林芝,24.47
2,甘孜藏族自治州,24.72
3,阿里地区,26.49
4,阿勒泰地区,27.11
5,昌都,27.82
6,玉树藏族自治州,27.97
7,三亚,29.05
8,阿坝藏族羌族自治州,29.06
9,丽江,29.27
10,大理州,30.36
11,迪庆州,31.02
12,锡林郭勒盟,31.36
13,保山,31.72
14,拉萨,32.44
15,儋州,33.24
16,大兴安岭地区,33.93
17,呼伦贝尔,34.13
18,山南,34.56
19,普洱,34.78
20,南平,34.99
21,楚雄州,35.33
22,日喀则,35.58
23,怒江州,36.73
24,黔南布依族苗族自治州,36.9
25,龙岩,37.05
26,梅州,37.65
27,西双版纳州,38.05
28,厦门,38.37
29,汕尾,38.49
30,昆明,38.89
31,三明,39.0
32,塔城地区,39.0
33,舟山,39.63
34,泉州,39.79
35,玉溪,39.91
36,莆田,39.94
37,河源,40.09
38,临沧,40.14
39,深圳,40.25
40,延边朝鲜族自治州,40.83
41,清远,40.93
42,黑河,41.02
43,海西蒙古族藏族自治州,41.03
44,惠州,41.09
45,福州,41.35
46,果洛藏族自治州,41.36
47,海口,41.4
48,曲靖,41.67
49,鹤岗,42.5
50,宁德,42.54
51,文山州,42.68
52,汕头,42.76
53,肇庆,42.96
54,海北藏族自治州,43.23
55,那曲地区,43.36
56,东莞,43.51
57,黔东南苗族侗族自治州,43.96
58,珠海,44.03
59,中山,44.06
60,红河州,44.16
61,安顺,44.47
62,广州,44.52
63,云浮,44.52
64,韶关,44.66
65,凉山彝族自治州,44.88
66,景德镇,45.06
67,昭通,45.68
68,六盘水,45.77
69,丽水,46.05
70,张家口,46.34
71,贵阳,46.43
72,兴安盟,46.66
73,湛江,46.67
74,赣州,46.72
75,茂名,46.78
76,海南藏族自治州,46.82
77,黔西南布依族苗族自治州,46.89
78,佛山,47.08
79,赤峰,47.71
80,漳州,47.76
81,河池,47.97
82,黄山,48.31
83,阳江,48.41
84,威海,48.61
85,德宏州,48.65
86,潮州,48.99
87,温州,49.49
88,江门,49.84
89,防城港,49.87
90,毕节,49.91
91,遵义,49.91
92,伊春,50.13
93,台州,50.5
94,北海,51.34
95,鹰潭,51.51
96,南宁,51.53
97,梧州,51.58
98,湘西州,51.91
99,崇左,52.12
100,通化,52.41
101,揭阳,52.53
102,乌兰察布,52.71
103,玉林,52.8
104,白城,52.91
105,贵港,53.12
106,贺州,53.12
107,阿拉善盟,53.16
108,柳州,53.35
109,桂林,53.7
110,宁波,53.71
111,齐齐哈尔,53.79
112,甘南州,53.89
113,大连,54.24
114,攀枝花,54.42
115,抚州,54.76
116,上饶,55.19
117,承德,55.49
118,吉安,56.06
119,丹东,56.27
120,钦州,56.34
121,百色,56.58
122,铜仁地区,56.7
123,双鸭山,56.81
124,上海,57.1
125,佳木斯,57.2
126,黄南藏族自治州,57.24
127,衢州,57.75
128,通辽,57.95
129,烟台,58.03
130,新余,58.13
131,郴州,58.28
132,北京,58.73
133,宜春,58.89
134,鸡西,59.57
135,盘锦,60.11
136,广元,60.44
137,怀化,60.71
138,牡丹江,60.74
139,南通,60.75
140,鄂尔多斯,60.88
141,辽源,60.94
142,巴中,61.18
143,秦皇岛,61.19
144,嘉兴,61.23
145,无锡,61.72
146,金华,62.08
147,朝阳,62.38
148,七台河,62.88
149,陇南,62.95
150,吉林,63.07
151,阜新,63.6
152,白山,63.66
153,苏州,63.7
154,绍兴,63.7
155,杭州,63.98
156,营口,64.15
157,十堰,64.27
158,四平,64.33
159,大庆,64.35
160,张家界,64.52
161,盐城,65.0
162,鞍山,65.34
163,榆林,65.37
164,南京,65.75
165,九江,65.92
166,长春,66.31
167,萍乡,66.56
168,湖州,66.77
169,青岛,66.81
170,大同,67.09
171,松原,67.24
172,遂宁,67.39
173,安康,67.49
174,咸宁,67.54
175,沈阳,67.64
176,本溪,67.99
177,雅安,68.06
178,商洛,68.14
179,博尔塔拉蒙古自治州,68.48
180,呼和浩特,68.98
181,西宁,69.11
182,宣城,69.14
183,日照,69.39
184,天水,69.44
185,延安,69.81
186,克拉玛依,69.95
187,泰州,69.99
188,永州,70.05
189,葫芦岛,70.07
190,南昌,70.3
191,固原,70.39
192,恩施土家族苗族自治州,70.64
193,赣江新区,70.68
194,辽阳,71.06
195,铁岭,71.27
196,常州,71.69
197,金昌,71.79
198,马鞍山,71.8
199,滁州,72.01
200,镇江,72.2
201,嘉峪关,72.32
202,池州,72.66
203,扬州,73.11
204,重庆,73.19
205,邵阳,73.44
206,廊坊,73.44
207,连云港,73.56
208,抚顺,73.67
209,锦州,73.78
210,达州,73.9
211,巴彦淖尔,74.1
212,岳阳,74.13
213,唐山,74.3
214,南充,74.32
215,铜陵,74.33
216,平凉,74.55
217,合肥,74.6
218,东营,74.66
219,包头,74.81
220,临夏回族自治州,74.83
221,绵阳,74.87
222,成都,75.22
223,衡阳,75.29
224,天津,75.45
225,庆阳,75.62
226,安庆,75.93
227,定西,76.16
228,芜湖,76.93
229,吕梁,77.1
230,娄底,77.4
231,资阳,77.45
232,白银,77.49
233,黄石,77.84
234,长治,77.91
235,六安,78.12
236,朔州,78.33
237,潍坊,78.45
238,眉山,78.62
239,武汉,78.77
240,内江,79.08
241,淮安,79.16
242,张掖,79.28
243,银川,79.82
244,株洲,79.99
245,兰州新区,80.2
246,晋城,80.25
247,黄冈,80.76
248,乌海,80.87
249,湘潭,81.57
250,长沙,82.43
251,德阳,82.53
252,太原,82.85
253,鄂州,82.98
254,酒泉,83.06
255,来宾,83.47
256,广安,83.53
257,忻州,83.68
258,随州,83.82
259,哈密地区,83.83
260,汉中,84.0
261,宿迁,84.01
262,滨州,84.05
263,阳泉,84.35
264,乐山,84.75
265,济南,85.01
266,蚌埠,85.15
267,吴忠,85.53
268,泰安,86.49
269,中卫,86.62
270,宜宾,86.96
271,兰州,87.53
272,自贡,87.74
273,泸州,87.85
274,铜川,87.98
275,保定,87.98
276,雄安新区,88.12
277,武威,88.14
278,沧州,88.23
279,临沂,88.79
280,伊犁哈萨克州,88.8
281,淄博,88.88
282,晋中,88.92
283,石嘴山,89.44
284,淮南,89.98
285,宜昌,90.12
286,哈尔滨,90.12
287,常德,90.43
288,石家庄,91.46
289,徐州,91.93
290,亳州,92.09
291,信阳,92.11
292,宿州,92.53
293,益阳,92.6
294,南阳,92.71
295,枣庄,92.96
296,德州,94.54
297,衡水,94.55
298,绥化,94.85
299,济宁,94.9
300,阜阳,95.35
301,孝感,95.5
302,驻马店,97.24
303,三门峡,97.59
304,昌吉州,97.91
305,荆门,98.23
306,荆州,98.59
307,焦作,98.71
308,邢台,99.38
309,郑州,101.26
310,临汾,102.46
311,邯郸,103.57
312,洛阳,104.01
313,淮北,104.69
314,宝鸡,104.8
315,襄阳,105.11
316,濮阳,105.76
317,周口,105.82
318,商丘,106.11
319,鹤壁,106.25
320,新乡,106.32
321,菏泽,106.86
322,许昌,107.08
323,平顶山,107.29
324,聊城,108.83
325,开封,109.23
326,运城,109.92
327,漯河,110.16
328,安阳,110.29
329,渭南,110.54
330,乌鲁木齐,110.55
331,西安,117.31
332,巴音郭楞州,121.75
333,西咸新区,123.18
334,咸阳,126.44
335,吐鲁番地区,129.46
336,克孜勒苏柯尔克孜自治州,139.99
337,阿克苏地区,146.79
338,石河子,149.86
339,五家渠,153.26
340,喀什地区,170.19
341,和田地区,175.0
