监测点编码,监测点名称,城市,经度,纬度,对照点
1001A,万寿西宫,北京,116.3621,39.8784,N
1002A,定陵(对照点),北京,116.2202,40.2915,Y
1003A,东四,北京,116.4174,39.9289,N
1004A,天坛,北京,116.4072,39.8863,N
1005A,农展馆,北京,116.462,39.9365,N
1006A,官园,北京,116.3392,39.9295,N
1007A,海淀万柳,北京,116.2878,39.9611,N
1008A,顺义新城,北京,116.6636,40.135,N
1009A,怀柔镇,北京,116.6275,40.3275,N
1010A,昌平镇,北京,116.2296,40.217,N
1011A,奥体中心,北京,116.3966,39.9821,N
1012A,古城,北京,116.184,39.9136,N
1013A,市监测中心(停运150702),天津,117.151,39.097,Y
1014A,南口路(停运161122),天津,117.193,39.173,Y
1015A,勤俭道,天津,117.1444,39.1661,N
1016A,南京路(停运160601),天津,117.184,39.1205,Y
1017A,大直沽八号路,天津,117.237,39.1082,N
1018A,前进道,天津,117.202,39.0927,N
1019A,淮河道,天津,117.1837,39.2133,N
1020A,天山路(停运150702),天津,117.269,39.1337,Y
1021A,跃进路,天津,117.307,39.0877,N
1022A,梅江小区(停运150702),天津,117.221,39.06,Y
1023A,第四大街,天津,117.707,39.0343,N
1024A,永明路,天津,117.457,38.8394,N
1025A,航天路(停运170426),天津,117.401,39.124,Y
1026A,汉北路,天津,117.764,39.1587,N
1027A,团泊洼(对照点),天津,117.157,38.9194,Y
1028A,化工学校(停运150703),石家庄,114.5637,38.0549,Y
1029A,职工医院,石家庄,114.4422,38.0444,N
1030A,高新区,石家庄,114.6063,38.0266,N
1031A,西北水源,石家庄,114.4898,38.1328,N
1032A,西南高教,石家庄,114.4586,38.0058,N
1033A,世纪公园,石家庄,114.5331,38.0178,N
1034A,人民会堂,石家庄,114.509,38.0457,N
1035A,封龙山(对照点),石家庄,114.3524,37.8911,Y
1036A,供销社(停运200110),唐山,118.1662,39.6308,Y
1037A,雷达站,唐山,118.131,39.6363,N
1038A,物资局,唐山,118.1725,39.6334,N
1039A,陶瓷公司(停运200109),唐山,118.2185,39.6679,Y
1040A,十二中,唐山,118.1705,39.6506,N
1041A,小山,唐山,118.1869,39.622,N
1042A,北戴河环保局,秦皇岛,119.5134,39.8207,N
1043A,第一关,秦皇岛,119.7493,40.0116,N
1044A,监测站,秦皇岛,119.5897,39.9499,N
1045A,市政府,秦皇岛,-,-,N
1046A,建设大厦,秦皇岛,119.5251,39.9041,N
1047A,环保局,邯郸,114.5129,36.61763,N
1048A,东污水处理厂,邯郸,114.5302,36.6116,N
1049A,矿院,邯郸,114.4918,36.5713,N
1050A,丛台公园,邯郸,114.484,36.6133,N
1051A,游泳馆,保定,115.493,38.8632,N
1052A,华电二区,保定,115.5213,38.8959,N
1053A,接待中心,保定,115.4713,38.9108,N
1054A,地表水厂,保定,115.4612,38.8416,N
1055A,胶片厂,保定,115.4323,38.8697,N
1056A,监测站,保定,115.5086,38.8639,N
1057A,人民公园,张家口,114.8883,40.8336,N
1058A,探机厂,张家口,114.892,40.79481,Y
1059A,五金库,张家口,114.8687,40.8042,N
1060A,世纪豪园,张家口,114.8902,40.762,N
1061A,北泵房(对照点),张家口,114.8916,40.8661,Y
1062A,铁路,承德,117.9531,40.9081,N
1063A,中国银行,承德,117.9392,40.9763,N
1064A,开发区,承德,117.9503,40.928,N
1065A,文化中心,承德,117.8051,40.9655,N
1066A,离宫(对照点),承德,117.9268,41.0026,Y
1067A,药材公司,廊坊,116.6708,39.5111,N
1068A,开发区,廊坊,116.7214,39.5589,N
1069A,环境监测监理中心,廊坊,116.7150,39.5571,Y
1070A,北华航天学院,廊坊,116.7244,39.5269,N
1071A,沧县城建局,沧州,116.8842,38.2991,N
1072A,电视转播站,沧州,116.8584,38.3254,N
1073A,市环保局,沧州,116.8709,38.3228,N
1074A,电机北厂,衡水,115.6838,37.7541,N
1075A,市监测站,衡水,115.6303,37.7316,N
1076A,市环保局,衡水,115.6906,37.7390,Y
1077A,达活泉,邢台,114.4704,37.0886,N
1078A,邢师高专,邢台,114.5062,37.0349,N
1079A,路桥公司,邢台,114.5237,37.0851,N
1080A,市环保局,邢台,114.4725,37.0719,N
1081A,尖草坪,太原,112.5139,37.8873,N
1082A,涧河,太原,112.573,37.9103,Y
1083A,上兰(对照点),太原,112.434,38.0108,Y
1084A,晋源,太原,112.469,37.7124,N
1085A,小店,太原,112.5583,37.7394,N
1086A,桃园,太原,112.5369,37.8692,N
1087A,坞城,太原,112.57,37.8195,N
1088A,南寨,太原,112.549,37.9854,N
1089A,金胜,太原,112.4701,37.782,N
1090A,呼市一监,呼和浩特,111.6507,40.7517,N
1091A,小召,呼和浩特,111.6572,40.8033,N
1092A,兴松小区(停运200113),呼和浩特,111.659,40.8452,Y
1093A,糖厂(停运200113),呼和浩特,111.608,40.8144,Y
1094A,如意水处理厂,呼和浩特,111.7516,40.8369,N
1095A,二十九中,呼和浩特,111.7276,40.8062,N
1096A,工大金川校区,呼和浩特,111.5512,40.7866,N
